MMS ID,S3 Path,Local Path
991011591181104641,01GCL_INST/storage/alma/AE/B7/C0/D9/60/CB/65/E6/26/08/EB/0B/70/50/48/0B/grinnell_23290_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23290_OBJ.tiff
991011591181204641,01GCL_INST/storage/alma/FF/9E/C9/E1/80/7C/CC/20/2D/0B/16/ED/30/7F/54/8B/grinnell_23240_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23240_OBJ.tiff
991011591181304641,01GCL_INST/storage/alma/04/31/B3/F2/32/AA/F7/32/7A/2F/73/54/32/23/49/4E/grinnell_23289_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23289_OBJ.tiff
991011591181404641,01GCL_INST/storage/alma/A1/E8/9B/9A/37/FB/0E/87/D7/92/3D/71/96/16/5B/DB/grinnell_23239_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23239_OBJ.tiff
991011591181504641,01GCL_INST/storage/alma/5B/34/A3/2D/E4/02/EF/F6/55/C8/8A/F2/39/1A/70/B8/grinnell_23288_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23288_OBJ.tiff
991011591181604641,01GCL_INST/storage/alma/A9/8C/4C/EC/A3/7C/FE/3C/EE/5A/9C/80/CB/B4/08/F3/grinnell_23238_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23238_OBJ.tiff
991011591181704641,01GCL_INST/storage/alma/B8/DE/DA/DB/28/67/8D/10/7B/53/70/C7/33/B1/FF/57/grinnell_23287_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23287_OBJ.tiff
991011591181804641,01GCL_INST/storage/alma/DE/04/AA/71/01/A3/5C/9D/94/BA/0A/9B/57/BE/A3/4B/grinnell_23237_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23237_OBJ.tiff
991011591181904641,01GCL_INST/storage/alma/8E/2B/34/62/AE/58/D9/0A/48/3B/DF/12/36/FB/D9/D0/grinnell_23286_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23286_OBJ.tiff
991011591182004641,01GCL_INST/storage/alma/13/47/1F/04/EF/57/4B/F8/C5/75/D2/3D/6B/26/E1/53/grinnell_23236_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23236_OBJ.tiff
991011591182104641,01GCL_INST/storage/alma/B2/F2/51/C1/8D/F2/8B/6D/A5/91/8B/1D/E9/4D/F8/9A/grinnell_23285_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23285_OBJ.tiff
991011591182204641,01GCL_INST/storage/alma/4E/6B/A4/FE/89/FA/CF/21/99/3B/5E/40/3C/D7/A7/64/grinnell_23235_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23235_OBJ.tiff
991011591182404641,01GCL_INST/storage/alma/2B/92/B8/39/1B/0F/0A/A4/3F/C8/F4/80/19/F3/B3/63/grinnell_23284_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23284_OBJ.tiff
991011591182504641,01GCL_INST/storage/alma/D3/24/8D/B4/63/E5/00/62/6B/47/3E/82/FE/E5/33/56/grinnell_23234_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23234_OBJ.tiff
991011591182604641,01GCL_INST/storage/alma/D1/20/34/6C/94/A0/59/95/F0/0A/5E/50/23/A4/5F/02/grinnell_26652_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26652_OBJ.tiff
991011591182704641,01GCL_INST/storage/alma/AA/6D/13/E1/DA/22/43/27/5F/35/26/55/BE/DD/5C/F9/grinnell_23283_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23283_OBJ.tiff
991011591182804641,01GCL_INST/storage/alma/56/8B/23/F0/7B/EC/FE/5A/BB/65/5B/6A/62/27/99/7C/grinnell_23233_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23233_OBJ.tiff
991011591182904641,01GCL_INST/storage/alma/0A/A0/10/36/92/4E/53/8A/41/5A/C5/0D/B4/60/E4/5C/grinnell_26651_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26651_OBJ.tiff
991011591183004641,01GCL_INST/storage/alma/B0/EC/DF/7E/BD/AE/43/0A/B7/DF/AE/AE/A0/D5/5E/E3/grinnell_23282_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23282_OBJ.tiff
991011591183104641,01GCL_INST/storage/alma/44/BE/54/C9/FD/2D/EE/75/35/42/C3/F7/A3/9A/D3/C0/grinnell_23232_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23232_OBJ.tiff
991011591183204641,01GCL_INST/storage/alma/DC/CA/1D/F6/73/2D/70/F9/6C/F0/24/EC/64/5B/99/5A/grinnell_26650_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26650_OBJ.tiff
991011591183304641,01GCL_INST/storage/alma/7F/87/1C/2A/C2/9A/D2/40/8F/49/B1/14/79/3B/6B/91/grinnell_23281_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23281_OBJ.tiff
991011591183404641,01GCL_INST/storage/alma/8E/B0/99/38/18/BD/F2/6D/F5/E9/1E/D5/5A/D0/C1/B5/grinnell_23231_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23231_OBJ.tiff
991011591183504641,01GCL_INST/storage/alma/28/05/08/50/64/B4/BA/BC/3F/CE/28/3A/D6/37/BC/51/grinnell_26649_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26649_OBJ.tiff
991011591183604641,01GCL_INST/storage/alma/F1/9C/3F/78/1D/82/A9/E9/8D/C9/E5/5C/B9/DF/0C/57/grinnell_23280_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23280_OBJ.tiff
991011591183704641,01GCL_INST/storage/alma/1D/D0/51/0B/48/78/10/28/FD/55/9C/BA/F5/F8/82/9A/grinnell_23230_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23230_OBJ.tiff
991011591183804641,01GCL_INST/storage/alma/91/5F/43/A2/36/C6/4B/C9/ED/DD/70/0E/03/6B/E4/C7/grinnell_23279_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23279_OBJ.tiff
991011591183904641,01GCL_INST/storage/alma/74/93/43/76/D8/EC/41/EA/1F/E6/24/93/1E/DB/3B/84/grinnell_26648_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26648_OBJ.tiff
991011591184004641,01GCL_INST/storage/alma/2D/3A/A9/34/AB/D4/C4/3D/1E/F8/E9/E4/3C/AA/93/44/grinnell_23229_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23229_OBJ.tiff
991011591184104641,01GCL_INST/storage/alma/24/B5/6C/F4/A3/C9/9D/6C/9B/C0/38/07/57/FF/65/CF/grinnell_23278_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23278_OBJ.tiff
991011591184204641,01GCL_INST/storage/alma/6C/21/1B/F9/BC/10/B4/56/A4/AE/C7/EB/40/BB/39/5C/grinnell_26647_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_26647_OBJ.tiff
991011591184304641,01GCL_INST/storage/alma/F1/2E/A2/7F/DC/DE/92/D8/9B/2E/28/B9/81/2D/71/8B/grinnell_23228_OBJ.tiff,/Users/mcfatem/GitHub/migrate-MODS-to-dcterms/data/phpp-ghm/OBJ/grinnell_23228_OBJ.tiff
